     TableName				     Column Name				Nullable		Datatype		Primarykey		Foreign key		comments				
				CKID_RENEWAL_DATE4				-		TIMESTAMP		-								
				CKID_RENEWAL_DATE5				-		TIMESTAMP		-								
				CKID_KEY_BLOB_NAME				-		TEXT		-								
				CKID_FILE_NAME				-		TEXT		-								
				CKID_MIMETYPE				-		TEXT		-								
				CKID_BLOBCONTENT				-		BLOB		-								
				CKID_KEY_ROTATION_DATE				-		TIMESTAMP		-								
				CKID_KEY_DEACTIVATION_DATE				-		TIMESTAMP		-								
				CKID_KEY_BCKUPFREQ				-		INTEGER		-								
				CKID_KEY_BCKUP_SCHEDULE				-		TIMESTAMP		-								
				CKID_KEY_FORT_ALGOR				-		TEXT		-								
				CKID_CR_REFERENCE				-		TEXT		-								
CAAS_INV_SERVER_DET				CTSD_SNO				NOTNULL		INTEGER		Yes								
				CTSD_HSNO				-		INTEGER		-								
				CTSD_TYPE				-		TEXT		-								
				CTSD_SERVER_HOSTNAME				-		TEXT		-								
				CTSD_SERVER_IP				-		TEXT		-								
				CTSD_SERVER_HOSTED				-		TEXT		-								
				CTSD_DC_HOSTED				-		TEXT		-								
				CTSD_DB_VERSION				-		TEXT		-								
				CTSD_OS_VERSION				-		TEXT		-								
				CTSD_VTE_VERSION				-		TEXT		-								
				CTSD_STATUS				-		TEXT		-								
				CTSD_COUNTRY				-		TEXT		-								
				CTSD_SERVER_PLATFORM				-		TEXT		-								
				CTSD_KERNEL_VERSION				-		TEXT		-								
				CTSD_DSM_REGISTERED				-		TEXT		-								
				CTSD_GUARDED_PATH				-		TEXT		-								
CAAS_EMAIL_LOG				CEL_SNO				NOTNULL		INTEGER		Yes								
				CEL_TYPE				-		TEXT		-								
				CEL_MAILTYPE				-		TEXT		-								
				CEL_TYPESNO				-		INTEGER		-								
				CEL_STATUS				-		TEXT		-								
				CEL_SEND_DATE				-		TIMESTAMP		-								
				CEL_TO				-		TEXT		-								
				CEL_CC				-		TEXT		-								
CAAS_REMEDY				DR_ID				NOTNULL		INTEGER		Yes								
				DR_SUPP_ORG				-		TEXT		-								
				DR_SUPP_GRP_NAME				-		TEXT		-								
				DR_PSID				NOTNULL		INTEGER		-								
				DR_FULL_NAME				-		TEXT		-								
				DR_EMAIL				-		TEXT		-								
				DR_FUNC_ROLE				-		TEXT		-								
				DR_PROFILE_STATUS				-		TEXT		-								
				CREATED_BY				-		TEXT		-								
				CREATED_ON				-		TIMESTAMP		-								
				MODIFIED_BY				-		TEXT		-								
				MODIFIED_ON				-		TIMESTAMP		-								
ESD_EMAIL_TEMPLATE_GEN				SNO				-		INTEGER		-								
				MAIL_CONTENT_TYPE				-		TEXT		-								
				CONTENT_DATA				-		CLOB		-								
				SUBJECT_DATA				-		TEXT		-								
				ESD_MAIN_TYPE				-		INTEGER		-								
				ESD_SUB_TYPE				-		INTEGER		-								
PEOPLE_LM				USERID				NOTNULL		INTEGER		-								
				FIRSTNAME				-		TEXT		-								
				LASTNAME				-		TEXT		-								
				FULLNAME				-		TEXT		-								
				USERSTATUS				-		TEXT		-								
				EMAIL				-		TEXT		-								
				SUPERVISOR_ID				-		INTEGER		-								
				DESIGNATION				-		TEXT		-								
				DEPARTMENT				-		TEXT		-								
				COMPANY				-		TEXT		-								
				MOBILE				-		TEXT		-								
				TELEPHONE				-		TEXT		-								
				COUNTRY				-		TEXT		-								
				LOCATION				-		TEXT		-								
				ZONE				-		TEXT		-								
